FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group B/BMW Championship 2014,149070,4712927.68,5190165.5274,80884167.4926,05-09-2014 17:40:40,,
Group B/BMW Championship 2014/Tournament Matchbets,152,3633.26,6218.8034,595.5442,07-09-2014 22:20:43,,
Group B/Chiquita Classic 2014,1321,6892.82,404.88000000000005,653088.084,07-09-2014 20:11:35,,
Group B/Deutsche Bank Championship 2014,166663,4672132.07,3546042.886,102746429.2388,01-09-2014 21:53:59,,
Group B/Deutsche Bank Championship 2014/Tournament Matchbets,415,10449.26,15697.5224,3782.3932,01-09-2014 22:08:23,,
Group B/European Masters 2014,73740,1383381.85,1126411.751,35498517.2524,07-09-2014 14:47:13,,
Group B/European Masters 2014/Tournament Matchbets,144,4457.3,2953.3572,5306.9752,05-09-2014 18:49:05,,
Group B/Portland Classic 2014,182,2130.24,1903.28,27702.5014,01-09-2014 01:40:29,,
Group B/Quebec Championship 2014,165,1346.76,0.0,62835.56,07-09-2014 21:13:36,,
